,0,1,2
0,260.0,-0.738769,221.163
1,259.5,-0.740007,221.59
2,259.0,-0.732746,222.018
3,258.5,-0.735056,222.444
4,258.0,-0.732767,222.873
5,257.5,-0.738444,223.307
6,257.0,-0.748489,223.743
7,256.5,-0.757342,224.178
8,256.0,-0.761355,224.607
9,255.5,-0.769579,225.031
10,255.0,-0.792333,225.453
11,254.5,-0.803733,225.872
12,254.0,-0.807567,226.291
13,253.5,-0.820336,226.712
14,253.0,-0.826678,227.133
15,252.5,-0.838144,227.554
16,252.0,-0.843662,227.977
17,251.5,-0.847043,228.399
18,251.0,-0.862857,228.817
19,250.5,-0.864172,229.231
20,250.0,-0.864415,229.649
21,249.5,-0.872841,230.076
22,249.0,-0.872263,230.515
23,248.5,-0.884462,230.964
24,248.0,-0.892777,231.421
25,247.5,-0.908505,231.882
26,247.0,-0.921044,232.35
27,246.5,-0.928077,232.823
28,246.0,-0.932425,233.306
29,245.5,-0.939574,233.798
30,245.0,-0.95172,234.3
31,244.5,-0.959195,234.819
32,244.0,-0.966197,235.353
33,243.5,-0.980416,235.905
34,243.0,-0.991525,236.473
35,242.5,-0.998836,237.052
36,242.0,-1.00833,237.639
37,241.5,-1.02147,238.24
38,241.0,-1.02622,238.852
39,240.5,-1.03726,239.482
40,240.0,-1.04482,240.13
41,239.5,-1.05812,240.795
42,239.0,-1.0864,241.479
43,238.5,-1.10695,242.18
44,238.0,-1.12805,242.897
45,237.5,-1.15763,243.626
46,237.0,-1.18024,244.372
47,236.5,-1.21318,245.125
48,236.0,-1.25428,245.892
49,235.5,-1.29435,246.672
50,235.0,-1.3239,247.461
51,234.5,-1.35841,248.26
52,234.0,-1.39532,249.071
53,233.5,-1.43336,249.884
54,233.0,-1.48616,250.692
55,232.5,-1.52561,251.502
56,232.0,-1.57696,252.326
57,231.5,-1.6189,253.176
58,231.0,-1.66689,254.049
59,230.5,-1.71001,254.942
60,230.0,-1.75137,255.846
61,229.5,-1.78245,256.762
62,229.0,-1.81963,257.691
63,228.5,-1.86973,258.628
64,228.0,-1.9218,259.581
65,227.5,-1.9683,260.545
66,227.0,-2.0095,261.53
67,226.5,-2.06899,262.538
68,226.0,-2.11994,263.573
69,225.5,-2.16685,264.622
70,225.0,-2.20875,265.676
71,224.5,-2.26222,266.734
72,224.0,-2.30115,267.799
73,223.5,-2.34611,268.881
74,223.0,-2.40598,269.979
75,222.5,-2.45878,271.091
76,222.0,-2.4946,272.226
77,221.5,-2.53138,273.382
78,221.0,-2.58044,274.557
79,220.5,-2.64116,275.748
80,220.0,-2.67216,276.959
81,219.5,-2.71206,278.184
82,219.0,-2.75667,279.428
83,218.5,-2.78262,280.688
84,218.0,-2.80764,281.963
85,217.5,-2.82963,283.255
86,217.0,-2.86784,284.561
87,216.5,-2.87146,285.883
88,216.0,-2.86934,287.229
89,215.5,-2.90038,288.597
90,215.0,-2.93529,289.983
91,214.5,-2.93676,291.399
92,214.0,-2.94345,292.848
93,213.5,-2.94529,294.329
94,213.0,-2.94551,295.851
95,212.5,-2.93916,297.409
96,212.0,-2.91155,299.01
97,211.5,-2.88864,300.669
98,211.0,-2.8905,302.379
99,210.5,-2.88149,304.152
100,210.0,-2.83134,305.991
101,209.5,-2.79831,307.909
102,209.0,-2.7723,309.911
103,208.5,-2.76367,312.014
104,208.0,-2.73974,314.228
105,207.5,-2.66836,316.578
106,207.0,-2.64631,319.086
107,206.5,-2.59127,321.781
108,206.0,-2.54877,324.706
109,205.5,-2.53086,327.91
110,205.0,-2.511,331.457
111,204.5,-2.44662,335.435
112,204.0,-2.38583,339.965
113,203.5,-2.36681,345.182
114,203.0,-2.37082,351.251
115,202.5,-2.23909,358.379
116,202.0,-2.11174,366.86
117,201.5,-2.06024,377.048
118,201.0,-2.06056,389.41
119,200.5,-1.95262,404.519
120,200.0,-1.98623,423.106
